coronal_index,sagittal_index,index,ap_um,ml_um,dv_um,depth_um,theta,phi
1614,5078,1,-5250,975,-847,5923,17,0
1614,5037,1,-5250,460,-894,5874,17,0
1614,4935,1,-5250,-815,-847,5631,10,0
1614,4846,1,-5250,-1924,-1465,4496,10,0
1650,5073,1,-4750,909,-800,6022,17,0
1650,5036,1,-4750,446,-680,6147,17,0
1650,4932,1,-4750,-844,-751,5559,10,0
1650,4896,1,-4750,-1300,-502,5473,10,0
1650,4856,1,-4750,-1800,-502,5047,10,0
1650,4774,1,-4750,-2827,-657,4326,10,0
1650,4728,1,-4750,-3394,-1037,3843,10,0
1687,5080,1,-4250,1000,-193,6557,17,0
1687,5028,1,-4250,351,-681,5898,17,0
1687,4936,1,-4250,-800,-193,5884,10,0
1687,4896,1,-4250,-1300,-193,5911,10,0
1687,4815,1,-4250,-2310,-252,5438,10,0
1687,4772,1,-4250,-2848,-466,5148,10,0
1687,4727,1,-4250,-3407,-799,4567,10,0
1687,4680,1,-4250,-3995,-1299,3636,10,0
1724,5080,1,-3750,1000,-2,6483,17,0
1724,5039,1,-3750,489,-38,6321,17,0
1724,4936,1,-3750,-800,-2,5570,10,0
1724,4896,1,-3750,-1300,-2,5014,10,0
1724,4855,1,-3750,-1806,-38,5921,10,0
1724,4727,1,-3750,-3415,-656,4959,10,0
1724,4680,1,-3750,-3995,-1108,4036,10,0
1761,5080,1,-3250,1000,93,5363,17,0
1761,5040,1,-3250,500,93,5736,17,0
1761,4936,1,-3250,-800,93,5335,10,0
1761,4896,1,-3250,-1300,93,5812,10,0
1761,4855,1,-3250,-1815,10,6404,10,0
1761,4813,1,-3250,-2340,-133,6235,10,0
1761,4770,1,-3250,-2873,-323,5897,10,0
1761,4726,1,-3250,-3419,-585,5293,10,0
1761,4680,1,-3250,-3995,-1013,4212,10,0
1798,5080,1,-2750,1000,140,6234,17,0
1798,5040,1,-2750,500,140,5905,17,0
1798,4936,1,-2750,-800,140,5908,10,0
1798,4895,1,-2750,-1306,105,6356,10,0
1798,4854,1,-2750,-1823,10,6622,10,0
1798,4812,1,-2750,-2348,-132,6453,10,0
1798,4769,1,-2750,-2882,-323,6138,10,0
1798,4726,1,-2750,-3424,-561,5414,10,0
1798,4680,1,-2750,-3999,-989,4206,10,0
1834,5080,1,-2250,1000,140,6707,17,0
1834,5039,1,-2250,489,105,6247,17,0
1834,4936,1,-2250,-800,140,6223,10,0
1834,4895,1,-2250,-1306,105,6597,10,0
1834,4854,1,-2250,-1823,10,6840,10,0
1834,4812,1,-2250,-2348,-132,6695,10,0
1834,4769,1,-2250,-2882,-323,6211,10,0
1834,4725,1,-2250,-3432,-609,5365,10,0
1834,4679,1,-2250,-4008,-1037,4139,10,0
1871,5079,1,-1750,989,57,6844,17,0
1871,5039,1,-1750,489,57,6296,17,0
1871,4936,1,-1750,-800,93,6440,10,0
1871,4895,1,-1750,-1315,10,6694,10,0
1871,4854,1,-1750,-1823,-37,6888,10,0
1871,4812,1,-1750,-2348,-180,6719,10,0
1871,4769,1,-1750,-2886,-395,6136,10,0
1871,4725,1,-1750,-3432,-657,5196,10,0
1871,4679,1,-1750,-4012,-1109,3915,10,0
1908,5078,1,-1250,975,-38,6719,17,0
1908,5039,1,-1250,482,-14,6441,17,0
1908,4935,1,-1250,-806,10,6549,10,0
1908,4895,1,-1250,-1315,-38,6815,10,0
1908,4853,1,-1250,-1831,-133,6839,10,0
1908,4811,1,-1250,-2357,-276,6573,10,0
1908,4769,1,-1250,-2890,-466,5897,10,0
1908,4725,1,-1250,-3440,-752,4930,10,0
1908,4678,1,-1250,-4020,-1204,3674,10,0
1945,5079,1,-750,982,-133,6670,17,0
1945,5039,1,-750,482,-133,6441,17,0
1945,4935,1,-750,-810,-133,6598,10,0
1945,4895,1,-750,-1310,-133,6767,10,0
1945,4854,1,-750,-1823,-204,6743,10,0
1945,4812,1,-750,-2348,-347,6356,10,0
1945,4769,1,-750,-2890,-585,5536,10,0
1945,4725,1,-750,-3440,-871,4526,10,0
1982,5079,1,-250,982,-252,6545,17,0
1982,5038,1,-250,475,-276,6421,17,0
1982,4935,1,-250,-810,-252,6453,10,0
1982,4895,1,-250,-1315,-276,6453,10,0
1982,4854,1,-250,-1823,-323,6477,10,0
1982,4811,1,-250,-2357,-514,5993,10,0
1982,4768,1,-250,-2894,-728,5100,10,0
1982,4724,1,-250,-3449,-1037,4190,10,0
2018,5079,1,250,982,-395,6222,17,0
2018,5038,1,250,475,-419,6570,17,0
2018,4935,1,250,-810,-395,6501,10,0
2018,4895,1,250,-1315,-418,6332,10,0
2018,4853,1,250,-1831,-514,5969,10,0
2018,4811,1,250,-2361,-680,5510,10,0
2018,4768,1,250,-2898,-894,4768,10,0
2018,4723,1,250,-3461,-1251,3867,10,0
2055,5078,1,750,975,-562,6097,17,0
2055,5038,1,750,475,-562,6445,17,0
2055,4935,1,750,-810,-537,6380,10,0
2055,4894,1,750,-1323,-608,6067,10,0
2055,4852,1,750,-1844,-728,5438,10,0
2055,4810,1,750,-2373,-894,4979,10,0
2055,4767,1,750,-2915,-1132,4374,10,0
2092,5079,1,1250,982,-657,6197,17,0
2092,5037,1,1250,468,-704,6222,17,0
2092,4935,1,1250,-810,-656,6114,10,0
2092,4894,1,1250,-1323,-727,5752,10,0
